timestamp,symbol,price
1641024000000,ETH,3715.32
1641031200000,ETH,3718.67
1641049200000,ETH,3697.04
1641056400000,ETH,3727.61
1641088800000,ETH,3747
1641121200000,ETH,3743.17
1641135600000,ETH,3752.6
1641139200000,ETH,3778.17
1641146400000,ETH,3823.82
1641150000000,ETH,3795.06
1641168000000,ETH,3828.11
1641204000000,ETH,3808.86
1641214800000,ETH,3819.1
1641225600000,ETH,3784.04
1641243600000,ETH,3699.02
1641250800000,ETH,3751.99
1641279600000,ETH,3753.34
1641330000000,ETH,3816.37
1641366000000,ETH,3819.17
1641391200000,ETH,3814.54
1641394800000,ETH,3821.02
1641402000000,ETH,3792.87
1641430800000,ETH,3538.85
1641466800000,ETH,3355.94
1641474000000,ETH,3361.15
1641528000000,ETH,3238.74
1641639600000,ETH,3221.33
1641668400000,ETH,3009.22
1641704400000,ETH,3140.82
1641711600000,ETH,3138.15
1641715200000,ETH,3127.51
1641758400000,ETH,3204.11
1641776400000,ETH,3137.39
1641812400000,ETH,3138.97
1641884400000,ETH,3108.08
1641902400000,ETH,3110.92
1641906000000,ETH,3121.93
1641909600000,ETH,3113.51
1642024800000,ETH,3366.63
1642032000000,ETH,3371.6
1642042800000,ETH,3335.07
1642075200000,ETH,3334
1642132800000,ETH,3266.43
1642165200000,ETH,3211.39
1642168800000,ETH,3210.15
1642179600000,ETH,3295.33
1642190400000,ETH,3308.01
1642194000000,ETH,3303.18
1642201200000,ETH,3313.49
1642204800000,ETH,3307.42
1642287600000,ETH,3337.59
1642327200000,ETH,3318.98
1642420800000,ETH,3255.94
1642428000000,ETH,3267.92
1642431600000,ETH,3256.05
1642442400000,ETH,3207.23
1642471200000,ETH,3223.35
1642582800000,ETH,3064.27
1642586400000,ETH,3086.01
1642590000000,ETH,3078.34
1642629600000,ETH,3113.54
1642633200000,ETH,3127.05
1642662000000,ETH,3144.78
1642687200000,ETH,3181.81
1642690800000,ETH,3220.04
1642737600000,ETH,2837.21
1642755600000,ETH,2892.13
1642780800000,ETH,2830.46
1642849200000,ETH,2450.13
1642852800000,ETH,2431.07
1642863600000,ETH,2418.65
1642867200000,ETH,2387
1642924800000,ETH,2487.84
1642960800000,ETH,2437.17
1643018400000,ETH,2336.52
1643140800000,ETH,2466.28
1643176800000,ETH,2475.97
1643194800000,ETH,2526.09
1643234400000,ETH,2417.95
1643245200000,ETH,2484.44
1643270400000,ETH,2403.78
1643281200000,ETH,2424.37
1643320800000,ETH,2360.45
1643364000000,ETH,2389
1643389200000,ETH,2474.01
1643403600000,ETH,2509.44
1643407200000,ETH,2533.99
1643439600000,ETH,2542.68
1643482800000,ETH,2592.07
1643493600000,ETH,2614.67
1643500800000,ETH,2601.43
1643547600000,ETH,2615.75
1643616000000,ETH,2529.07
1643634000000,ETH,2540.2
1643659200000,ETH,2672.5
